tarefa,categoria
Trocar fraldas,Cuidados com Bebês Recém-Nascidos
Limpar o bumbum com algodão e água morna,Cuidados com Bebês Recém-Nascidos
Passar pomada para assaduras,Cuidados com Bebês Recém-Nascidos
Verificar se há assaduras,Cuidados com Bebês Recém-Nascidos
Separar fralda limpa,Cuidados com Bebês Recém-Nascidos
Separar algodão e água morna,Cuidados com Bebês Recém-Nascidos
Descartar fralda suja,Cuidados com Bebês Recém-Nascidos
Lavar as mãos antes de trocar a fralda,Cuidados com Bebês Recém-Nascidos
Lavar as mãos depois de trocar a fralda,Cuidados com Bebês Recém-Nascidos
Preparar o local para a troca de fraldas,Cuidados com Bebês Recém-Nascidos
Dar banho no bebê,Cuidados com Bebês Recém-Nascidos
Verificar a temperatura da água do banho,Cuidados com Bebês Recém-Nascidos
Separar roupas limpas para o banho,Cuidados com Bebês Recém-Nascidos
Separar toalha macia,Cuidados com Bebês Recém-Nascidos
Separar sabonete neutro,Cuidados com Bebês Recém-Nascidos
Separar shampoo neutro,Cuidados com Bebês Recém-Nascidos
Limpar o coto umbilical,Cuidados com Bebês Recém-Nascidos
Usar álcool 70% no coto umbilical,Cuidados com Bebês Recém-Nascidos
Manter o coto umbilical seco,Cuidados com Bebês Recém-Nascidos
Observar sinais de infecção no coto umbilical,Cuidados com Bebês Recém-Nascidos
Cortar as unhas do bebê,Cuidados com Bebês Recém-Nascidos
Usar tesoura de ponta arredondada,Cuidados com Bebês Recém-Nascidos
Usar lixa de unha para bebê,Cuidados com Bebês Recém-Nascidos
Limpar o nariz com soro fisiológico,Cuidados com Bebês Recém-Nascidos
Usar aspirador nasal,Cuidados com Bebês Recém-Nascidos
Limpar os olhos com gaze e soro fisiológico,Cuidados com Bebês Recém-Nascidos
Usar uma gaze para cada olho,Cuidados com Bebês Recém-Nascidos
Limpar as orelhas com uma toalha macia,Cuidados com Bebês Recém-Nascidos
Não usar cotonetes dentro do ouvido,Cuidados com Bebês Recém-Nascidos
Escovar o couro cabeludo,Cuidados com Bebês Recém-Nascidos
Usar escova de cerdas macias,Cuidados com Bebês Recém-Nascidos
Pentear o cabelo do bebê,Cuidados com Bebês Recém-Nascidos
Amamentar em livre demanda,Cuidados com Bebês Recém-Nascidos
Oferecer os dois seios,Cuidados com Bebês Recém-Nascidos
Verificar a pega correta,Cuidados com Bebês Recém-Nascidos
Observar sinais de fome (procurar o seio;levar a mão à boca),Cuidados com Bebês Recém-Nascidos
"Observar sinais de saciedade (soltar o seio,relaxar)",Cuidados com Bebês Recém-Nascidos
Garantir que o bebê arrote após as mamadas,Cuidados com Bebês Recém-Nascidos
Oferecer água à mãe,Cuidados com Bebês Recém-Nascidos
Manter a mãe hidratada,Cuidados com Bebês Recém-Nascidos
Descansar a mãe,Cuidados com Bebês Recém-Nascidos
Verificar se o bebê está engolindo o leite,Cuidados com Bebês Recém-Nascidos
Trocar a fralda antes ou depois da mamada,Cuidados com Bebês Recém-Nascidos
Registrar horários das mamadas,Cuidados com Bebês Recém-Nascidos
Registrar duração das mamadas,Cuidados com Bebês Recém-Nascidos
Registrar qual seio foi oferecido por último,Cuidados com Bebês Recém-Nascidos
Verificar se há ingurgitamento mamário,Cuidados com Bebês Recém-Nascidos
Fazer compressas quentes nos seios (se necessário),Cuidados com Bebês Recém-Nascidos
Fazer massagem nos seios (se necessário),Cuidados com Bebês Recém-Nascidos
Usar conchas de amamentação (se necessário),Cuidados com Bebês Recém-Nascidos
Usar absorventes de seio,Cuidados com Bebês Recém-Nascidos
Lavar as mãos antes de amamentar,Cuidados com Bebês Recém-Nascidos
Encontrar uma posição confortável para amamentar,Cuidados com Bebês Recém-Nascidos
Oferecer o seio sempre que o bebê demonstrar interesse,Cuidados com Bebês Recém-Nascidos
Evitar chupetas e mamadeiras nos primeiros dias (se amamentação exclusiva),Cuidados com Bebês Recém-Nascidos
Observar o ganho de peso do bebê,Cuidados com Bebês Recém-Nascidos
Consultar um especialista em amamentação (se necessário),Cuidados com Bebês Recém-Nascidos
Oferecer fórmula infantil,Cuidados com Bebês Recém-Nascidos
Preparar a fórmula conforme instruções,Cuidados com Bebês Recém-Nascidos
Esterilizar mamadeiras e bicos,Cuidados com Bebês Recém-Nascidos
Verificar a temperatura da fórmula,Cuidados com Bebês Recém-Nascidos
Descartar fórmula não consumida,Cuidados com Bebês Recém-Nascidos
Lavar mamadeiras e bicos após o uso,Cuidados com Bebês Recém-Nascidos
Armazenar fórmula em local adequado,Cuidados com Bebês Recém-Nascidos
Comprar fórmula infantil,Cuidados com Bebês Recém-Nascidos
Comprar mamadeiras,Cuidados com Bebês Recém-Nascidos
Comprar escova para mamadeira,Cuidados com Bebês Recém-Nascidos
Comprar esterilizador de mamadeiras,Cuidados com Bebês Recém-Nascidos
Oferecer leite materno e fórmula (amamentação mista),Cuidados com Bebês Recém-Nascidos
Definir horários para mamadas de fórmula (se houver),Cuidados com Bebês Recém-Nascidos
Manter a produção de leite materno (se amamentação mista),Cuidados com Bebês Recém-Nascidos
Colocar o bebê para dormir de barriga para cima,Cuidados com Bebês Recém-Nascidos
Evitar cobertores pesados ou brinquedos no berço,Cuidados com Bebês Recém-Nascidos
Manter o berço limpo e organizado,Cuidados com Bebês Recém-Nascidos
Usar roupas confortáveis para dormir,Cuidados com Bebês Recém-Nascidos
Criar uma rotina de sono,Cuidados com Bebês Recém-Nascidos
Observar sinais de sono (esfregar os olhos;bocejar),Cuidados com Bebês Recém-Nascidos
Evitar estímulos excessivos antes de dormir,Cuidados com Bebês Recém-Nascidos
Garantir que o ambiente esteja silencioso e escuro,Cuidados com Bebês Recém-Nascidos
Verificar a temperatura do quarto,Cuidados com Bebês Recém-Nascidos
Trocar a roupa de cama do berço,Cuidados com Bebês Recém-Nascidos
Colocar o bebê para arrotar antes de dormir,Cuidados com Bebês Recém-Nascidos
Ninar o bebê,Cuidados com Bebês Recém-Nascidos
Cantar canções de ninar,Cuidados com Bebês Recém-Nascidos
Contar histórias,Cuidados com Bebês Recém-Nascidos
Verificar a fralda antes de colocar para dormir,Cuidados com Bebês Recém-Nascidos
Levar o bebê ao pediatra para consultas de rotina,Cuidados com Bebês Recém-Nascidos
Seguir o calendário de vacinação,Cuidados com Bebês Recém-Nascidos
Verificar a temperatura corporal do bebê,Cuidados com Bebês Recém-Nascidos
Observar sinais de icterícia (pele e olhos amarelados),Cuidados com Bebês Recém-Nascidos
Manter o bebê longe de pessoas doentes,Cuidados com Bebês Recém-Nascidos
Lavar as mãos antes de pegar o bebê,Cuidados com Bebês Recém-Nascidos
Evitar expor o bebê ao sol direto,Cuidados com Bebês Recém-Nascidos
Usar protetor solar apenas após os 6 meses (se necessário),Cuidados com Bebês Recém-Nascidos
Observar a coloração da urina,Cuidados com Bebês Recém-Nascidos
Observar a frequência das evacuações,Cuidados com Bebês Recém-Nascidos
Observar a consistência das fezes,Cuidados com Bebês Recém-Nascidos
Administrar remédios para cólica (se prescrito),Cuidados com Bebês Recém-Nascidos
Consultar o pediatra em caso de febre,Cuidados com Bebês Recém-Nascidos
Consultar o pediatra em caso de diarreia,Cuidados com Bebês Recém-Nascidos
Consultar o pediatra em caso de vômito,Cuidados com Bebês Recém-Nascidos
Consultar o pediatra em caso de tosse persistente,Cuidados com Bebês Recém-Nascidos
Consultar o pediatra em caso de dificuldade para respirar,Cuidados com Bebês Recém-Nascidos
Consultar o pediatra em caso de choro inconsolável,Cuidados com Bebês Recém-Nascidos
Manter a carteira de vacinação atualizada,Cuidados com Bebês Recém-Nascidos
Ter um kit de primeiros socorros para o bebê,Cuidados com Bebês Recém-Nascidos
Verificar a validade dos medicamentos,Cuidados com Bebês Recém-Nascidos
Comprar fraldas descartáveis,Cuidados com Bebês Recém-Nascidos
Comprar lenços umedecidos,Cuidados com Bebês Recém-Nascidos
Comprar pomada para assaduras,Cuidados com Bebês Recém-Nascidos
Comprar algodão,Cuidados com Bebês Recém-Nascidos
Comprar gaze,Cuidados com Bebês Recém-Nascidos
Comprar álcool 70%,Cuidados com Bebês Recém-Nascidos
Comprar soro fisiológico,Cuidados com Bebês Recém-Nascidos
Comprar sabonete neutro,Cuidados com Bebês Recém-Nascidos
Comprar shampoo neutro,Cuidados com Bebês Recém-Nascidos
Comprar condicionador neutro,Cuidados com Bebês Recém-Nascidos
Comprar hidratante para bebê,Cuidados com Bebês Recém-Nascidos
Comprar perfume para bebê,Cuidados com Bebês Recém-Nascidos
Comprar roupas de tamanho RN,Cuidados com Bebês Recém-Nascidos
Comprar roupas de tamanho P,Cuidados com Bebês Recém-Nascidos
Comprar roupas de tamanho M,Cuidados com Bebês Recém-Nascidos
Comprar bodies de manga curta,Cuidados com Bebês Recém-Nascidos
Comprar bodies de manga longa,Cuidados com Bebês Recém-Nascidos
Comprar calças (mijão),Cuidados com Bebês Recém-Nascidos
Comprar macacões,Cuidados com Bebês Recém-Nascidos
Comprar meias,Cuidados com Bebês Recém-Nascidos
Comprar luvinhas,Cuidados com Bebês Recém-Nascidos
Comprar toucas,Cuidados com Bebês Recém-Nascidos
Comprar casaquinhos,Cuidados com Bebês Recém-Nascidos
Comprar mantas,Cuidados com Bebês Recém-Nascidos
Comprar cobertores,Cuidados com Bebês Recém-Nascidos
Comprar toalhas de banho com capuz,Cuidados com Bebês Recém-Nascidos
Comprar toalhas de boca,Cuidados com Bebês Recém-Nascidos
Comprar fraldas de pano,Cuidados com Bebês Recém-Nascidos
Comprar trocador,Cuidados com Bebês Recém-Nascidos
Comprar berço,Cuidados com Bebês Recém-Nascidos
Comprar colchão para berço,Cuidados com Bebês Recém-Nascidos
Comprar jogo de lençol para berço,Cuidados com Bebês Recém-Nascidos
Comprar protetor de berço,Cuidados com Bebês Recém-Nascidos
Comprar cômoda,Cuidados com Bebês Recém-Nascidos
Comprar guarda-roupa,Cuidados com Bebês Recém-Nascidos
Comprar poltrona de amamentação,Cuidados com Bebês Recém-Nascidos
Comprar abajur,Cuidados com Bebês Recém-Nascidos
Comprar babá eletrônica,Cuidados com Bebês Recém-Nascidos
Comprar carrinho de bebê,Cuidados com Bebês Recém-Nascidos
Comprar bebê conforto,Cuidados com Bebês Recém-Nascidos
Comprar bolsa maternidade,Cuidados com Bebês Recém-Nascidos
Comprar sling ou canguru,Cuidados com Bebês Recém-Nascidos
Comprar banheira,Cuidados com Bebês Recém-Nascidos
Comprar suporte para banheira,Cuidados com Bebês Recém-Nascidos
Comprar termômetro para banheira,Cuidados com Bebês Recém-Nascidos
Comprar brinquedos para bebê,Cuidados com Bebês Recém-Nascidos
Comprar mordedor,Cuidados com Bebês Recém-Nascidos
Comprar tapete de atividades,Cuidados com Bebês Recém-Nascidos
Comprar remédio para cólica,Cuidados com Bebês Recém-Nascidos
Comprar remédio para gases,Cuidados com Bebês Recém-Nascidos
Comprar termômetro corporal,Cuidados com Bebês Recém-Nascidos
Comprar aspirador nasal,Cuidados com Bebês Recém-Nascidos
Comprar tesoura de unha,Cuidados com Bebês Recém-Nascidos
Comprar lixa de unha,Cuidados com Bebês Recém-Nascidos
Comprar escova de cabelo,Cuidados com Bebês Recém-Nascidos
Comprar pente,Cuidados com Bebês Recém-Nascidos
Comprar sabão de coco para lavar roupas,Cuidados com Bebês Recém-Nascidos
Comprar amaciante para roupas de bebê,Cuidados com Bebês Recém-Nascidos
Fazer contato visual com o bebê,Cuidados com Bebês Recém-Nascidos
Conversar com o bebê,Cuidados com Bebês Recém-Nascidos
Cantar para o bebê,Cuidados com Bebês Recém-Nascidos
Ler para o bebê,Cuidados com Bebês Recém-Nascidos
Brincar com brinquedos coloridos e sonoros,Cuidados com Bebês Recém-Nascidos
Fazer massagens suaves no bebê,Cuidados com Bebês Recém-Nascidos
Estimular o tato com texturas diferentes,Cuidados com Bebês Recém-Nascidos
Colocar o bebê de bruços por curtos períodos (Tummy Time),Cuidados com Bebês Recém-Nascidos
Observar os marcos do desenvolvimento (sorriso;sustentar a cabeça),Cuidados com Bebês Recém-Nascidos
Evitar telas (TV;celular) para o bebê,Cuidados com Bebês Recém-Nascidos
Promover interação com outras pessoas (familiares próximos),Cuidados com Bebês Recém-Nascidos
Dar muito carinho;amor e atenção,Cuidados com Bebês Recém-Nascidos
Imitar os sons do bebê,Cuidados com Bebês Recém-Nascidos
Mostrar objetos coloridos,Cuidados com Bebês Recém-Nascidos
Fazer caretas para o bebê,Cuidados com Bebês Recém-Nascidos
Colocar música suave para o bebê,Cuidados com Bebês Recém-Nascidos
Levar o bebê para passear (carrinho ou sling),Cuidados com Bebês Recém-Nascidos
Descrever o ambiente para o bebê,Cuidados com Bebês Recém-Nascidos
Nomear objetos para o bebê,Cuidados com Bebês Recém-Nascidos
Incentivar o bebê a seguir objetos com os olhos,Cuidados com Bebês Recém-Nascidos
Fazer exercícios leves com as pernas e braços do bebê,Cuidados com Bebês Recém-Nascidos
Limpar as dobrinhas do pescoço do bebê,Cuidados com Bebês Recém-Nascidos
Limpar as dobrinhas das axilas do bebê,Cuidados com Bebês Recém-Nascidos
Limpar as dobrinhas das virilhas do bebê,Cuidados com Bebês Recém-Nascidos
